Channel,Product,Harvest Year,Harvest Week,Qty,Value
Markets,Kale Lacinato - bu,2026,3,66,$330.00
Orders,Kale Lacinato - bu,2026,3,3,$10.50
Markets,Kale Russian - bu,2026,3,10,$50.00
Markets,Kohlrabi Storage - ea,2026,3,22,$88.00
Markets,Potato Blue - lb,2026,3,40.7,$142.45
Markets,Potato White - lb,2026,3,70,$245.00
Markets,Potato White - lb,2026,3,22,$77.00
Markets,Potato Yellow - lb,2026,3,58,$203.00
Markets,Radicchio Round - lb,2026,3,25,$225.00
Markets,Radish Daikon Bulk - lb,2026,3,16.5,$57.75
Markets,Salad Mix - 1/3 lb,2026,3,13,$91.00
Markets,Salad Mix - 2/3 lb ,2026,3,35,$490.00
Markets,Spinach - 1 lb,2026,3,10,$140.00
Markets,Spinach - 1/2 lb,2026,3,14,$98.00
Markets,Sweet Potato Covington - lb,2026,3,25,$87.50
Markets,Sweet Potato Covington - lb,2026,3,31.5,$110.25
Markets,Sweet Potato Murasaki - lb,2026,3,27.9,$97.65
Markets,Winter Squash Butternut - lb,2026,3,64.2,$192.60
Markets,Winter Squash Koginut - lb,2026,3,50.3,$150.90
Markets,Beets Bulk Golden - lb,2026,4,25,$87.50
Markets,Beets Bulk Red - lb,2026,4,25,$87.50
Markets,Bok Choy - ea,2026,4,122,$305.00
Markets,Cabbage Green Storage - lb,2026,4,25,$62.50
Markets,Potato White - lb,2026,4,25,$87.50
Markets,Sweet Potato Covington - lb,2026,4,25,$87.50
Markets,Arugula - 1/3 lb,2026,5,8,$56.00
Markets,Beets Bulk Golden - lb,2026,5,25,$87.50
Markets,Beets Bulk Red - lb,2026,5,25,$87.50
Markets,Bok Choy - ea,2026,5,74,$185.00
Markets,Bok Choy - ea,2026,5,18,$45.00
Markets,Braising Mix - 1 lb,2026,5,35,$315.00
Markets,Cabbage Chinese - lb,2026,5,13,$52.00
Markets,Cabbage Cone Storage - lb,2026,5,48,$120.00
Orders,Cabbage Cone Storage - lb,2026,5,2,$3.50
Markets,Cabbage Green Storage - lb,2026,5,40,$100.00
Markets,Cabbage Green Storage - lb,2026,5,23,$57.50
Markets,Cabbage Red - lb,2026,5,32,$80.00
Orders,Cabbage Red - lb,2026,5,1,$1.75
Markets,Cabbage Savoy - lb,2026,5,19,$47.50
Orders,Cabbage Savoy - lb,2026,5,2,$3.50
Markets,Carrot Bulk - lb,2026,5,159,$556.50
Orders,Chard - bu,2026,5,1,$3.50
Markets,Kale Lacinato - bu,2026,5,82,$410.00
Orders,Kale Lacinato - bu,2026,5,3,$10.50
Markets,Kale Russian - bu,2026,5,13,$65.00
Markets,Kohlrabi Storage - ea,2026,5,35,$140.00
Markets,Potato Blue - lb,2026,5,60,$210.00
Markets,Potato White - lb,2026,5,70,$245.00
Markets,Potato White - lb,2026,5,69,$241.50
Markets,Potato Yellow - lb,2026,5,51,$178.50
Markets,Radish Daikon Bulk - lb,2026,5,66,$231.00
Markets,Salad Mix - 1/3 lb,2026,5,20,$140.00
Markets,Salad Mix - 2/3 lb ,2026,5,38,$532.00
Markets,Spinach - 1 lb,2026,5,25,$350.00
Markets,Spinach - 1/2 lb,2026,5,20,$140.00
Markets,Sweet Potato Covington - lb,2026,5,25,$87.50
Markets,Sweet Potato Covington - lb,2026,5,12,$42.00
Markets,Sweet Potato Murasaki - lb,2026,5,25,$87.50
Markets,Winter Squash Butternut - lb,2026,5,68,$204.00
Markets,Winter Squash Kabocha - lb,2026,5,25,$75.00
Markets,Winter Squash Koginut - lb,2026,5,56,$168.00
Markets,Beets Bulk Golden - lb,2026,6,25,$87.50
Markets,Beets Bulk Red - lb,2026,6,25,$87.50
Markets,Bok Choy - ea,2026,6,113,$282.50
Markets,Cabbage Green Storage - lb,2026,6,25,$62.50
Markets,Potato White - lb,2026,6,25,$87.50
Markets,Sweet Potato Covington - lb,2026,6,25,$87.50
Markets,Winter Squash Kabocha - lb,2026,6,25,$75.00
Markets,Beets Bulk Golden - lb,2026,7,25,$87.50
Markets,Beets Bulk Red - lb,2026,7,25,$87.50
Markets,Bok Choy - lb,2026,7,39,$390.00
Orders,Cabbage Cone Storage - lb,2026,7,2,$3.50
Markets,Cabbage Green Storage - lb,2026,7,40,$100.00
Markets,Cabbage Green Storage - lb,2026,7,50.5,$126.25
Markets,Cabbage Red - lb,2026,7,60.2,$150.50
Orders,Cabbage Red - lb,2026,7,1,$1.75
Markets,Cabbage Savoy - lb,2026,7,43.3,$108.25
Orders,Cabbage Savoy - lb,2026,7,3,$5.25
Markets,Carrot Bulk - lb,2026,7,122.25,$427.88
Orders,Carrot Bulk - lb,2026,7,3,$7.35
Markets,Chard - bu,2026,7,12,$60.00
Markets,Kale Curly - bu,2026,7,29,$145.00
Orders,Kale Curly - bu,2026,7,4,$14.00
Markets,Kale Lacinato - bu,2026,7,39,$195.00
Orders,Kale Lacinato - bu,2026,7,4,$14.00
Markets,Kale Russian - bu,2026,7,11,$55.00
Markets,Kohlrabi Storage - ea,2026,7,35,$140.00
Markets,Potato White - lb,2026,7,70,$245.00
Markets,Potato White - lb,2026,7,46,$161.00
Markets,Potato Yellow - lb,2026,7,70,$245.00
Markets,Radish Daikon Bulk - lb,2026,7,30,$105.00
Markets,Salad Mix - 1/3 lb,2026,7,32,$224.00
Markets,Salad Mix - 2/3 lb ,2026,7,40,$560.00
Markets,Spinach - 1/2 lb,2026,7,16,$112.00
Markets,Sweet Potato Covington - lb,2026,7,25,$87.50
Markets,Winter Squash Kabocha - lb,2026,7,25,$75.00
Markets,Winter Squash Kabocha - lb,2026,7,29.4,$88.20
Markets,Winter Squash Koginut - lb,2026,7,63.2,$189.60
Markets,Bok Choy - lb,2026,8,41,$410.00
Markets,Cabbage Green Storage - lb,2026,8,25,$62.50
Markets,Cabbage Green Storage - lb,2026,8,52.8,$132.00
Markets,Cabbage Red - lb,2026,8,35.8,$89.50
Orders,Cabbage Red - lb,2026,8,1,$1.75
Markets,Cabbage Savoy - lb,2026,8,46.9,$117.25
Orders,Cabbage Savoy - lb,2026,8,3,$5.25
Markets,Carrot Bulk - lb,2026,8,134.5,$470.75
Orders,Carrot Bulk - lb,2026,8,3,$7.35
Markets,Chard - bu,2026,8,12,$60.00
Orders,Chard - bu,2026,8,1,$3.50
Markets,Kale Curly - bu,2026,8,8,$40.00
Orders,Kale Curly - bu,2026,8,1,$3.50
Markets,Kale Lacinato - bu,2026,8,12,$60.00
Orders,Kale Lacinato - bu,2026,8,2,$7.00
Markets,Kale Russian - bu,2026,8,17,$85.00
Markets,Kohlrabi Storage - ea,2026,8,20,$80.00
Markets,Potato White - lb,2026,8,25,$87.50
Markets,Potato White - lb,2026,8,43,$150.50
Markets,Potato Yellow - lb,2026,8,52.8,$184.80
Markets,Radish Daikon Bulk - lb,2026,8,30,$105.00
Markets,Salad Mix - 1/3 lb,2026,8,20,$140.00
Markets,Salad Mix - 2/3 lb ,2026,8,30,$420.00
Markets,Spinach - 1/2 lb,2026,8,17,$119.00
Markets,Sweet Potato Covington - lb,2026,8,25,$87.50
Markets,Winter Squash Kabocha - lb,2026,8,25,$75.00
Markets,Winter Squash Kabocha - lb,2026,8,51.6,$154.80
Markets,Winter Squash Koginut - lb,2026,8,40.6,$121.80
Markets,Bok Choy - lb,2026,9,49,$490.00
Orders,Cabbage Cone Storage - lb,2026,9,1,$1.75
Markets,Cabbage Green Storage - lb,2026,9,40,$100.00
Markets,Cabbage Green Storage - lb,2026,9,53.3,$133.25
Markets,Cabbage Red - lb,2026,9,50,$125.00
Orders,Cabbage Red - lb,2026,9,4,$7.00
Markets,Cabbage Savoy - lb,2026,9,29.2,$73.00
Markets,Carrot Bulk - lb,2026,9,121.3,$424.55
Markets,Chard - bu,2026,9,12,$60.00
Orders,Chard - bu,2026,9,1,$3.50
Markets,Kale Russian - bu,2026,9,29,$145.00
Markets,Kohlrabi Storage - ea,2026,9,35,$140.00
Markets,Mustard - bu,2026,9,19,$95.00
Markets,Potato White - lb,2026,9,70,$245.00
Markets,Potato White - lb,2026,9,39.5,$138.25
Markets,Potato Yellow - lb,2026,9,61,$213.50
Markets,Radish Daikon Bulk - lb,2026,9,30,$105.00
Markets,Salad Mix - 1/3 lb,2026,9,26,$182.00
Markets,Salad Mix - 2/3 lb ,2026,9,33,$462.00
Markets,Spinach - 1/2 lb,2026,9,17,$119.00
Markets,Sweet Potato Covington - lb,2026,9,25,$87.50
Markets,Winter Squash Kabocha - lb,2026,9,25,$75.00
Markets,Winter Squash Kabocha - lb,2026,9,43.2,$129.60
Markets,Bok Choy - lb,2026,10,44,$440.00
Markets,Cabbage Green Storage - lb,2026,10,48,$120.00
Markets,Cabbage Red - lb,2026,10,31,$77.50
Markets,Cabbage Savoy - lb,2026,10,9.5,$23.75
Orders,Cabbage Savoy - lb,2026,10,3,$5.25
Markets,Carrot Bulk - lb,2026,10,89,$311.50
Markets,Chard - bu,2026,10,12,$60.00
Orders,Chard - bu,2026,10,1,$3.50
Markets,Kale Russian - bu,2026,10,25,$125.00
Markets,Kohlrabi Storage - ea,2026,10,20,$80.00
Markets,Lettuce Mini Gem - ea,2026,10,94,$282.00
Markets,Mustard - bu,2026,10,12,$60.00
Markets,Potato White - lb,2026,10,25,$87.50
Markets,Potato White - lb,2026,10,20,$70.00
Markets,Potato Yellow - lb,2026,10,51,$178.50
Markets,Radish Daikon Bulk - lb,2026,10,30,$105.00
Markets,Salad Mix - 1/3 lb,2026,10,16,$112.00
Markets,Salad Mix - 2/3 lb ,2026,10,21,$294.00
Markets,Spinach - 1/2 lb,2026,10,20,$140.00
Markets,Sweet Potato Covington - lb,2026,10,25,$87.50
Markets,Winter Squash Kabocha - lb,2026,10,25,$75.00
Markets,Winter Squash Kabocha - lb,2026,10,35,$105.00
Markets,Bok Choy - ea,2026,11,22,$55.00
Markets,Bok Choy - lb,2026,11,37,$370.00
Markets,Cabbage Green Storage - lb,2026,11,49.6,$124.00
Markets,Cabbage Savoy - lb,2026,11,36.8,$92.00
Markets,Carrot Bulk - lb,2026,11,102,$357.00
Markets,Chard - bu,2026,11,12,$60.00
Orders,Cilantro - bu,2026,11,5,$14.00
Markets,Kale Lacinato - bu,2026,11,22,$110.00
Markets,Kale Russian - bu,2026,11,25,$125.00
Markets,Lettuce Mini Gem - ea,2026,11,40,$120.00
Markets,Mustard - bu,2026,11,10,$50.00
Orders,Parsley - bu,2026,11,5,$14.00
Markets,Potato White - lb,2026,11,70,$245.00
Markets,Potato White - lb,2026,11,41,$143.50
Markets,Potato Yellow - lb,2026,11,80,$280.00
Markets,Radish Daikon Bulk - lb,2026,11,30,$105.00
Markets,Salad Mix - 1/3 lb,2026,11,21,$147.00
Markets,Salad Mix - 2/3 lb ,2026,11,23,$322.00
Markets,Scallion - bu,2026,11,49,$196.00
Orders,Scallion - bu,2026,11,7,$19.60
Markets,Spinach - 1/2 lb,2026,11,31,$217.00
Markets,Winter Squash Kabocha - lb,2026,11,25,$75.00
Markets,Winter Squash Kabocha - lb,2026,11,36.2,$108.60
Markets,Bok Choy - lb,2026,12,37,$370.00
Orders,Cabbage Cone Storage - lb,2026,12,1,$1.75
Markets,Cabbage Green Storage - lb,2026,12,37.8,$94.50
Markets,Cabbage Savoy - lb,2026,12,32,$80.00
Markets,Carrot Bulk - lb,2026,12,129,$451.50
Markets,Chard - bu,2026,12,15,$75.00
Orders,Chard - bu,2026,12,2,$7.00
Markets,Cilantro - bu,2026,12,16,$64.00
Markets,Kale Curly - bu,2026,12,18,$90.00
Orders,Kale Curly - bu,2026,12,2,$7.00
Markets,Kale Lacinato - bu,2026,12,11.4,$57.00
Orders,Kale Lacinato - bu,2026,12,4,$14.00
Markets,Kale Russian - bu,2026,12,27,$135.00
Markets,Lettuce Mini Gem - ea,2026,12,101,$303.00
Markets,Mustard - bu,2026,12,15,$75.00
Markets,Potato White - lb,2026,12,25,$87.50
Markets,Potato White - lb,2026,12,18,$63.00
Markets,Potato Yellow - lb,2026,12,50,$175.00
Markets,Radish Daikon Bulk - lb,2026,12,30,$105.00
Markets,Salad Mix - 1/3 lb,2026,12,24,$168.00
Markets,Salad Mix - 2/3 lb ,2026,12,26,$364.00
Markets,Scallion - bu,2026,12,34,$136.00
Orders,Scallion - bu,2026,12,6,$16.80
Markets,Spinach - 1/2 lb,2026,12,30,$210.00
Markets,Winter Squash Kabocha - lb,2026,12,32.2,$96.60
Markets,Cabbage Green Storage - lb,2026,13,74.6,$186.50
Markets,Cabbage Savoy - lb,2026,13,41.4,$103.50
Orders,Cabbage Savoy - lb,2026,13,1,$1.75
Markets,Carrot Bulk - lb,2026,13,102,$357.00
Orders,Carrot Bulk - lb,2026,13,3,$7.35
Markets,Chard - bu,2026,13,12,$60.00
Markets,Cilantro - bu,2026,13,15,$60.00
Markets,Collards - bu,2026,13,26,$130.00
Orders,Collards - bu,2026,13,3,$10.50
Markets,Kale Curly - bu,2026,13,6,$30.00
Orders,Kale Curly - bu,2026,13,3,$10.50
Markets,Kale Lacinato - bu,2026,13,21.2,$106.00
Markets,Kale Russian - bu,2026,13,44,$220.00
Markets,Lettuce Mini Gem - ea,2026,13,52,$156.00
Markets,Mustard - bu,2026,13,30,$150.00
Markets,Potato Yellow - lb,2026,13,83.5,$292.25
Markets,Radish Daikon Bulk - lb,2026,13,30,$105.00
Markets,Salad Mix - 1/3 lb,2026,13,24,$168.00
Markets,Salad Mix - 2/3 lb ,2026,13,22,$308.00
Markets,Scallion - bu,2026,13,60,$240.00
Orders,Scallion - bu,2026,13,5,$14.00
Markets,Spinach - 1/2 lb,2026,13,31,$217.00
Markets,Winter Squash Kabocha - lb,2026,13,45.5,$136.50
Markets,Bok Choy - ea,2026,14,150,$375.00
Orders,Cabbage Cone Storage - lb,2026,14,2,$3.50
Markets,Cabbage Green Storage - lb,2026,14,67.1,$167.75
Markets,Cabbage Savoy - lb,2026,14,30.3,$75.75
Orders,Cabbage Savoy - lb,2026,14,2,$3.50
Markets,Carrot Bulk - lb,2026,14,117,$409.50
Markets,Chard - bu,2026,14,12,$60.00
Markets,Cilantro - bu,2026,14,15,$60.00
Orders,Cilantro - bu,2026,14,4,$11.20
Markets,Collards - bu,2026,14,21,$105.00
Orders,Collards - bu,2026,14,4,$14.00
Markets,Dandelion - bu,2026,14,4,$20.00
Markets,Kale Curly - bu,2026,14,17,$85.00
Markets,Kale Lacinato - bu,2026,14,3.75,$18.75
Markets,Kale Russian - bu,2026,14,40,$200.00
Markets,Mustard - bu,2026,14,26,$130.00
Orders,Parsley - bu,2026,14,3,$8.40
Markets,Potato Yellow - lb,2026,14,28,$98.00
Markets,Radish Daikon Bulk - lb,2026,14,30,$105.00
Markets,Salad Mix - 1/3 lb,2026,14,24,$168.00
Markets,Salad Mix - 2/3 lb ,2026,14,24,$336.00
Markets,Scallion - bu,2026,14,49,$196.00
Orders,Scallion - bu,2026,14,2,$5.60
Markets,Spinach - 1/2 lb,2026,14,15,$105.00
Markets,Winter Squash Kabocha - lb,2026,14,40.8,$122.40
Markets,Bok Choy - ea,2026,15,150,$375.00
Orders,Cabbage Cone Storage - lb,2026,15,3,$5.25
Markets,Cabbage Green Storage - lb,2026,15,77.8,$194.50
Markets,Carrot Bulk - lb,2026,15,115.5,$404.25
Orders,Carrot Bulk - lb,2026,15,4,$9.80
Markets,Chard - bu,2026,15,20,$100.00
Orders,Cilantro - bu,2026,15,2,$5.60
Markets,Dandelion - bu,2026,15,8,$40.00
Markets,Kale Curly - bu,2026,15,31.75,$158.75
Orders,Kale Curly - bu,2026,15,4,$14.00
Markets,Kale Russian - bu,2026,15,38,$190.00
Markets,Mustard - bu,2026,15,25,$125.00
Orders,Parsley - bu,2026,15,2,$5.60
Markets,Salad Mix - 1/3 lb,2026,15,15,$105.00
Markets,Salad Mix - 2/3 lb ,2026,15,28,$392.00
Markets,Scallion - bu,2026,15,66,$264.00
Orders,Scallion - bu,2026,15,3,$8.40
Markets,Spinach - 1/2 lb,2026,15,21,$147.00
Markets,Winter Squash Kabocha - lb,2026,15,21.7,$65.10
Markets,Bok Choy - ea,2026,16,150,$375.00
Orders,Cabbage Cone Storage - lb,2026,16,10,$17.50
Markets,Cabbage Green Storage - lb,2026,16,48.5,$121.25
Markets,Carrot Bulk - lb,2026,16,90,$315.00
Orders,Carrot Bulk - lb,2026,16,42,$102.90
Markets,Chard - bu,2026,16,15,$75.00
Markets,Dandelion - bu,2026,16,30,$150.00
Markets,Garlic Green - bu,2026,16,54,$189.00
Markets,Kale Curly - bu,2026,16,31,$155.00
Orders,Kale Curly - bu,2026,16,4,$14.00
Markets,Kale Russian - bu,2026,16,50,$250.00
Markets,Mustard - bu,2026,16,25,$125.00
Markets,Salad Mix - 1/3 lb,2026,16,25,$175.00
Markets,Salad Mix - 2/3 lb ,2026,16,30,$420.00
Markets,Scallion - bu,2026,16,59,$236.00
Orders,Scallion - bu,2026,16,7,$19.60
Markets,Spinach - 1/2 lb,2026,16,15,$105.00
Markets,Winter Squash Kabocha - lb,2026,16,18.1,$54.30
Markets,Bok Choy - ea,2026,17,150,$375.00
Markets,Bok Choy - ea,2026,17,26,$65.00
Markets,Bok Choy - lb,2026,17,5.5,$55.00
Markets,Cabbage Green Storage - lb,2026,17,60,$150.00
Markets,Carrot Bulk - lb,2026,17,108,$378.00
Orders,Carrot Bulk - lb,2026,17,8,$19.60
Markets,Chard - bu,2026,17,25,$125.00
Markets,Dandelion - bu,2026,17,14,$70.00
Markets,Garlic Green - bu,2026,17,21,$73.50
Markets,Kale Curly - bu,2026,17,61,$305.00
Markets,Kale Russian - bu,2026,17,30,$150.00
Markets,Mustard - bu,2026,17,30,$150.00
Markets,Salad Mix - 1/3 lb,2026,17,20,$140.00
Markets,Salad Mix - 2/3 lb ,2026,17,37,$518.00
Markets,Scallion - bu,2026,17,66,$264.00
Orders,Scallion - bu,2026,17,9,$25.20
Markets,Spinach - 1/2 lb,2026,17,19,$133.00
Markets,Arugula - 1/3 lb,2026,18,30,$210.00
Markets,Arugula - 2/3 lb ,2026,18,25,$350.00
Markets,Arugula - 2/3 lb ,2026,18,20,$280.00
Markets,Asparagus - bu,2026,18,30,$180.00
Markets,Asparagus - bu,2026,18,41,$246.00
Markets,Bok Choy - ea,2026,18,300,$750.00
Markets,Bok Choy - ea,2026,18,35,$87.50
Markets,Bok Choy - lb,2026,18,11,$110.00
Orders,Cabbage Cone Storage - lb,2026,18,1,$1.75
Markets,Carrot Bulk - lb,2026,18,197.75,$692.13
Orders,Carrot Bulk - lb,2026,18,3,$7.35
Markets,Chard - bu,2026,18,63,$315.00
Orders,Chard - bu,2026,18,3,$10.50
Markets,Dandelion - bu,2026,18,47,$235.00
Markets,Dandelion - bu,2026,18,25,$125.00
Orders,Dandelion - bu,2026,18,3,$10.50
Markets,Garlic Green - bu,2026,18,57,$199.50
Markets,Kale Curly - bu,2026,18,84,$420.00
Orders,Kale Curly - bu,2026,18,10,$35.00
Markets,Kale Russian - bu,2026,18,34,$170.00
Markets,Lettuce Mini Gem - ea,2026,18,75,$225.00
Markets,Radish French Breakfast - bu,2026,18,25,$100.00
Markets,Radish Purple - bu,2026,18,50,$200.00
Markets,Radish Red - bu,2026,18,50,$200.00
Markets,Salad Mix - 1/3 lb,2026,18,44,$308.00
Markets,Salad Mix - 2/3 lb ,2026,18,20,$280.00
Markets,Scallion - bu,2026,18,59,$236.00
Orders,Scallion - bu,2026,18,1,$2.80
Markets,Spinach - 1/2 lb,2026,18,52,$364.00
Markets,Arugula - 1/3 lb,2026,19,30,$210.00
Markets,Arugula - 2/3 lb ,2026,19,25,$350.00
Markets,Arugula - 2/3 lb ,2026,19,20,$280.00
Markets,Asparagus - bu,2026,19,35,$210.00
Markets,Asparagus - bu,2026,19,57,$342.00
Markets,Bok Choy - ea,2026,19,300,$750.00
Markets,Carrot - bu,2026,19,98,$588.00
Markets,Carrot Bulk - lb,2026,19,120.5,$421.75
Orders,Carrot Bulk - lb,2026,19,104,$254.80
Markets,Dandelion - bu,2026,19,56,$280.00
Markets,Dandelion - bu,2026,19,36,$180.00
Markets,Garlic Green - bu,2026,19,86,$301.00
Markets,Lettuce Mini Gem - ea,2026,19,75,$225.00
Markets,Radish French Breakfast - bu,2026,19,75,$300.00
Markets,Radish Purple - bu,2026,19,50,$200.00
Markets,Radish Purple - bu,2026,19,19,$76.00
Markets,Radish Red - bu,2026,19,50,$200.00
Markets,Salad Mix - 1/3 lb,2026,19,28,$196.00
Markets,Salad Mix - 2/3 lb ,2026,19,39,$546.00
Markets,Spinach - 1/2 lb,2026,19,18,$126.00
Markets,Arugula - 1/3 lb,2026,20,30,$210.00
Markets,Arugula - 2/3 lb ,2026,20,25,$350.00
Markets,Arugula - 2/3 lb ,2026,20,20,$280.00
Markets,Asparagus - bu,2026,20,35,$210.00
Markets,Asparagus - bu,2026,20,38,$228.00
Markets,Bok Choy - ea,2026,20,300,$750.00
Markets,Braising Mix - 1 lb,2026,20,13,$117.00
Markets,Carrot - bu,2026,20,67,$402.00
Markets,Carrot Bulk - lb,2026,20,57,$199.50
Orders,Carrot Bulk - lb,2026,20,4,$9.80
Markets,Dandelion - bu,2026,20,47,$235.00
Markets,Dandelion - bu,2026,20,38,$190.00
Orders,Dandelion - bu,2026,20,5,$17.50
Markets,Lettuce Mini Gem - ea,2026,20,150,$450.00
Markets,Radish French Breakfast - bu,2026,20,75,$300.00
Markets,Radish Purple - bu,2026,20,100,$400.00
Markets,Radish Purple - bu,2026,20,25,$100.00
Markets,Radish Red - bu,2026,20,50,$200.00
Markets,Salad Mix - 1/3 lb,2026,20,48,$336.00
Markets,Arugula - 1/3 lb,2026,21,30,$210.00
Markets,Arugula - 2/3 lb ,2026,21,25,$350.00
Markets,Arugula - 2/3 lb ,2026,21,20,$280.00
Markets,Asparagus - bu,2026,21,45,$270.00
Markets,Asparagus - bu,2026,21,37,$222.00
Markets,Bok Choy - ea,2026,21,300,$750.00
Markets,Bok Choy - lb,2026,21,20,$200.00
Markets,Carrot Bulk - lb,2026,21,215,$752.50
Orders,Carrot Bulk - lb,2026,21,3,$7.35
Markets,Cilantro - bu,2026,21,35,$140.00
Markets,Dandelion - bu,2026,21,38,$190.00
Orders,Dandelion - bu,2026,21,4,$14.00
Markets,Kale Lacinato - bu,2026,21,24,$120.00
Markets,Lettuce Mini Gem - ea,2026,21,150,$450.00
Markets,Lettuce Mini Gem - ea,2026,21,36,$108.00
Markets,Parsley - bu,2026,21,40,$160.00
Markets,Pea Snap - Qt,2026,21,75,$825.00
