Crop,Type,Botanical Family,Fresh or Storage,Storage Weeks,Can Hold In Field,Harvest Units,Average Unit Weight,Units Per Bin,Harvest Bin,Harvest Tools,Harvest Rate (units per hour),Nursery Weeks,Weeks Until Pot Up,Pot Up Tray Size,Seeded Tray Size,Seeds Per Cell,Thinned Plants,Seeds Per Ounce
Radish Red,Roots,Brassica,Fresh Perishable,0,No,bunches,0.7,40,rubbermaid,,30,,,,,,,3000
Radish Round Purple,Roots,Brassica,Fresh Perishable,0,No,bunches,0.7,40,rubbermaid,,30,,,,,,,3000
Scallion,Herbs,Allium,Fresh Holds,0,Yes,bunches,0.5,45,rubbermaid,hori hori ,40,8,,,264,4,,11700
Spinach,Greens,Chenopod,Fresh Perishable,0,No,pounds,1,9,rubbermaid,,15,4,,,128,4,1,1725
Sweet Potatoes,Roots,Mallow,Storage,24,No,pounds,1,50,grain bags,Knife,75,,,,,,,
Tomato Cherry,Tomatoes,Solanaceae,Fresh Perishable,0,No,pints,0.7,30,breadtray,1 gal bucket,30,6,3,32,Speed,1,,15000
Tomato Heirloom,Tomatoes,Solanaceae,Fresh Perishable,0,No,pounds,1,15,breadtray,5 gal bucket,45,6,3,32,Speed,1,,15000
Tomato Red,Tomatoes,Solanaceae,Fresh Perishable,0,No,pounds,1,15,breadtray,5 gal bucket,45,6,3,32,Speed,1,,15000
Tomato Sauce,Tomatoes,Solanaceae,Storage,1,Yes,pounds,1,15,breadtray,5 gal bucket,45,6,3,32,Speed,1,,15000
Turnip,Roots,Brassica,Fresh Perishable,0,No,bunches,0.7,20,rubbermaid,,30,,,,,,,8500
Turnip Bulk,Roots,Brassica,Storage,10,Yes,pounds,1,40,grain bags,5 gal bucket,100,,,,,,,8500
Winter Squash Acorn Type,Winter Squash,Cucurbit,Storage,4,No,eaches,1,20,green bin,5 gal bucket,60,4,,,50,1,,450
Winter Squash Butternut,Winter Squash,Cucurbit,Storage,24,No,eaches,1,150,bulk bin,5 gal bucket,60,4,,,50,1,,450
Winter Squash Delicata,Winter Squash,Cucurbit,Storage,2,No,eaches,1,40,green bin,5 gal bucket,60,4,,,50,1,,450
Winter Squash Honeynut,Winter Squash,Cucurbit,Storage,6,No,eaches,1,400,bulk bin,5 gal bucket,60,4,,,50,1,,450
Winter Squash Kabocha,Winter Squash,Cucurbit,Storage,24,No,eaches,1,150,bulk bin,5 gal bucket,60,4,,,50,1,,450
Winter Squash Koginut,Winter Squash,Cucurbit,Storage,24,No,eaches,1,150,bulk bin,5 gal bucket,60,4,,,50,1,,450
Winter Squash Spaghetti,Winter Squash,Cucurbit,Storage,2,No,eaches,1,20,green bin,5 gal bucket,60,4,,,50,1,,450
Zucchini,Zucchini,Cucurbit,Storage,2,No,pounds,1,30,rubbermaid,Knife,90,4,,,50,1,,200
Bean Snap TP,Specialty/Misc,Fabaceae,Storage,1,No,bunches,1,30,rubbermaid,Belly Bucket,15,2,,,50,2,,
Peas Snap PP,Specialty/Misc,Fabaceae,Storage,1,No,pounds,1,30,rubbermaid,Belly Bucket,30,4,,,264,3,,125
Bitter Melon,Specialty/Misc,Cucurbit,Storage,1,No,pounds,1,30,rubbermaid,Belly Bucket,30,3,,,50,1,,420
Cucumber Persian,Cucumbers,Cucurbit,Storage,1,No,pounds,1,40,rubbermaid,Belly Bucket,40,4,,,72,1,,
Corn,Specialty/Misc,,Storage,1,No,eaches,1,40,rubbermaid,Knife,70,3,,,128,2,,
