Crop Name,Product Name,Sale Price,Sale Unit,Harvest Qty Per Sale Unit,SKU,Is Active
Puntarelle,Puntarelle - lb,$9.00,lb,1,-lb,true
Radicchio,Radicchio - lb,$8.00,lb,1,-lb,true
Radicchio Forced,Radicchio Forced - lb,$16.00,lb,1,-lb,true
Radicchio Treviso,Radicchio Treviso - lb,$8.00,lb,1,-lb,true
Radicchio Variegated,Radicchio Variegated - lb,$8.00,lb,1,-lb,true
Radish Bulk,Radish Bulk - lb,$3.50,lb,1,-lb,true
Radish French Breakfast,Radish French Breakfast - bu,$3.50,bu,1,-bu,true
Radish Mix,Radish Mix - bu,$3.50,bu,1,-bu,true
Radish Red,Radish Red - bu,$3.50,bu,1,-bu,true
Radish Round Purple,Radish Round Purple - bu,$3.50,bu,1,-bu,true
Scallion,Scallion - bu,$3.50,bu,1,-bu,true
Spinach,Spinach - 1 lb,$14.00,1 lb,1,-1 lb,true
Spinach,Spinach - 1/2 lb,$7.00,1/2 lb,0.5,-1/2 lb,true
Spring Mix,Spring Mix - 1 1/4 lb,$25.00,1 1/4 lb,1.25,-1 1/4 lb,true
Spring Mix,Spring Mix - 1/3 lb,$7.00,1/3 lb,0.33,-1/3 lb,true
Spring Mix,Spring Mix - 2/3 lb ,$14.00,2/3 lb ,0.67,-2/3 lb,true
Summer Mix,Summer Mix - 1 1/4 lb,$25.00,1 1/4 lb,1.25,-1 1/4 lb,true
Summer Mix,Summer Mix - 1/3 lb,$7.00,1/3 lb,0.33,-1/3 lb,true
Summer Mix,Summer Mix - 2/3 lb ,$14.00,2/3 lb ,0.67,-2/3 lb,true
Sweet Potatoes,Sweet Potatoes - lb,$3.50,lb,1,-lb,true
Tomato Cherry,Tomato Cherry - Pt,$6.00,Pt,0.7,-pt,true
Tomato Heirloom,Tomato Heirloom - lb,$5.00,lb,1,-lb,true
Tomato Red,Tomato Red - lb,$5.00,lb,1,-lb,true
Tomato Sauce,Tomato Sauce - Qt,$7.00,Qt,1.5,-qt,true
Turnip,Turnip - bu,$4.50,bu,1,-bu,true
Turnip Bulk,Turnip Bulk - lb,$3.50,lb,1,-lb,true
Winter Mix,Winter Mix - 1 1/4 lb,$25.00,1 1/4 lb,1.25,-1 1/4 lb,true
Winter Mix,Winter Mix - 1/3 lb,$7.00,1/3 lb,0.33,-1/3 lb,true
Winter Mix,Winter Mix - 2/3 lb ,$14.00,2/3 lb ,0.67,-2/3 lb,true
Winter Squash Acorn Type,Winter Squash Acorn Type - lb,$4.00,lb,1,-lb,true
Winter Squash Butternut,Winter Squash Butternut - lb,$3.00,lb,1,-lb,true
Winter Squash Delicata,Winter Squash Delicata - lb,$4.00,lb,1,-lb,true
Winter Squash Honeynut,Winter Squash Honeynut - lb,$5.00,lb,1,-lb,true
Winter Squash Kabocha,Winter Squash Kabocha - lb,$3.00,lb,1,-lb,true
Winter Squash Koginut,Winter Squash Koginut - lb,$3.00,lb,1,-lb,true
Winter Squash Spaghetti,Winter Squash Spaghetti - lb,$3.00,lb,1,-lb,true
Zucchini,Zucchini - lb,$3.50,lb,1,-lb,true
Dry Beans,Dry Beans - lb,$9.00,lb,1,-lb,true
Eggplant Mini,Eggplant Mini - Qt,$11.00,Qt,1,-qt,true
Bitter Melon,Bitter Melon - lb,$5.00,lb,1,-lb,true
Cucumber Persian,Cucumber Persian - lb,$3.50,lb,1,-lb,true
Corn,Corn - ea,$1.66,ea,1,-ea,true
Summer Mix,Summer Mix - 1 1/3 lb,$25.00,1 1/3 lb,1,-1 1/3 lb,true
