Crop // Variety,Block,Bed,Plan Field Year,Plan Field Week,Actual Field Week,Actual Field Date,Actual Bedft,Notes,Finished Harvesting
Peas Snap PP // Super Sugar Snap,HT5,1,2025,10,12,2025-03-21,100,"Soaked, then Direct Seeded 5# / bed",TRUE
Peas Snap PP // Super Sugar Snap,HT5,3,2025,10,12,2025-03-21,100,"Soaked, then Direct Seeded 5# / bed",TRUE
Peas Snap PP // Sweet Gem,HT5,7,2025,10,10,2025-03-05,100,,TRUE
Peas Snap PP // Sweet Gem,HT5,5,2025,10,10,2025-03-05,100,,TRUE
Spinach // Kolibri,CAT3,1,2024,11,13,2024-03-28,90,"4x6"" dibble spacing",TRUE
Spinach // Kolibri,CAT3,2,2024,11,13,2024-03-28,90,"4x6"" dibble spacing",TRUE
Spinach // Kolibri,CAT3,3,2024,11,13,2024-03-28,90,"4x6"" dibble spacing",TRUE
Kale Lacinato // Ebony,CAT1,1,2025,11,12,2025-03-21,100,,TRUE
Kale Lacinato // Ebony,CAT1,2,2025,11,12,2025-03-21,100,,TRUE
Kale Lacinato // Ebony,CAT1,3,2025,11,14,2025-04-04,100,,TRUE
Arugula // Astro,HT2,5,2024,12,13,2024-03-28,54,,TRUE
Pea Snap // Sugar Snap,HT3,7,2024,12,14,2024-04-05,94,Pre-soaked,TRUE
Pea Snap // Sugar Snap,HT3,8,2024,12,14,2024-04-05,94,Pre-soaked,TRUE
Bok Choy // Little Shanghai,HT5,2,2025,12,12,2025-03-21,100,"50 Li Ren, 25' Black Summer', DS Frills in additional 25'",TRUE
Greens Mix Cheap Frills // Cheap Frills,HT5,2,2025,12,12,2025-03-21,25,"Not in plan, filled in space at end of Bok bed",TRUE
Scallion // Nabechan,CAT2,1,2024,13,13,2024-03-28,90,"1/2 plants started wk 3, 1/2 from wk 6 (intended orginally to go outside)",TRUE
Spinach // Kolibri,CAT3,7,2024,13,13,2024-03-28,94,,TRUE
Spinach // Kolibri,CAT3,8,2024,13,13,2024-03-28,94,,TRUE
Kale Lacinato // Black Magic,CAT4,1,2024,13,13,2024-03-27,90,"2x12"" large dibbles",TRUE
Kale Lacinato // Black Magic,CAT4,2,2024,13,13,2024-03-27,90,"2x12"" large dibbles",TRUE
Kale Lacinato // Black Magic,CAT4,3,2024,13,13,2024-03-27,90,"2x12"" large dibbles",TRUE
Radish French Breakfast // French Breakfast,HT3,1,2024,13,13,2024-03-28,94,seeded under bc1611 transplants,TRUE
Radish Red // Sora,HT3,6,2024,13,13,2024-03-29,94,Stacy's first seeding!,TRUE
Radish Round Purple // Bacchus,HT3,5,2024,13,13,2024-03-29,94,,TRUE
Turnip // Hakurei,JSS,3,2024,13,13,2024-03-28,90,"Violet Queen, seeded beneath bc1611 transplants",TRUE
Arugula // Astro,A3,1,2025,14,14,2025-04-04,100,,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,1,2025,14,14,2025-04-04,10,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,1,2025,14,14,2025-04-04,60,,TRUE
Greens Mix Mizuna // Central Red,A3,1,2025,14,14,2025-04-04,10,,TRUE
Greens Mix Rosie // Rosie,A3,1,2025,14,14,2025-04-04,10,,TRUE
Greens Mix Tokyo Bekana // Tokyo Bekana,A3,1,2025,14,14,2025-04-04,10,,TRUE
Radish French Breakfast // French Breakfast,A3,2,2025,14,14,2025-04-04,100,,TRUE
Radish Purple // Bacchus,A3,2,2025,14,14,2025-04-04,100,,TRUE
Radish Red // Sora,A3,3,2025,14,14,2025-04-04,100,,TRUE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,1,2025,14,14,2025-04-04,200,,TRUE
Lettuce Head // Alkindus,D2,2,2025,14,14,2025-04-04,25,,TRUE
Lettuce Head // Monte Carlo,D2,2,2025,14,14,2025-04-04,25,,TRUE
Lettuce Head // Queen of Hearts,D2,2,2025,14,14,2025-04-04,25,,TRUE
Lettuce Mini Gem // Gatsbi,D2,2,2025,14,14,2025-04-04,50,,TRUE
Lettuce Mini Gem // Rosaine,D2,2,2025,14,14,2025-04-04,75,,TRUE
Frisee // Curlesi,D2,3,2025,14,14,2025-04-04,75,,TRUE
Lettuce Head // Alkindus,D2,3,2025,14,14,2025-04-04,25,"extra, planted with frisee",TRUE
Pea Shelling // PLS595,CAT1,1,2025,15,14,2025-04-04,100,"PP Transplanted 100' cat 1 bed 1, and 100' Cat 4 bed 3",TRUE
Onion Spring // Expression,A2,1,2025,15,17,2025-04-25,200,,TRUE
Onion Spring // Monastrell,A2,3,2025,15,17,2025-04-25,200,,TRUE
Onion Spring // Red Tropea,A2,3,2025,15,52,2000-01-01,0,Cancelled - tropea seed was old and didnt germ,TRUE
Arugula // Astro,A3,3,2025,15,15,2025-04-11,100,,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,4,2025,15,15,2025-04-11,10,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,4,2025,15,15,2025-04-11,60,,TRUE
Greens Mix Mizuna // Central Red,A3,4,2025,15,15,2025-04-11,10,,TRUE
Greens Mix Rosie // Rosie,A3,4,2025,15,15,2025-04-11,10,,TRUE
Greens Mix Tokyo Bekana // Tokyo Bekana,A3,4,2025,15,15,2025-04-11,10,,TRUE
Radish French Breakfast // French Breakfast,A3,4,2025,15,15,2025-04-11,100,,TRUE
Radish Purple // Bacchus,A3,5,2025,15,15,2025-04-11,100,,TRUE
Radish Red // Sora,A3,5,2025,15,15,2025-04-11,100,,TRUE
Scallion // Parade,B3,29,2025,15,15,2025-04-11,200,,TRUE
Cilantro // Cruiser,B3,30,2025,15,15,2025-04-11,200,,TRUE
Arugula // Astro,A3,6,2025,16,16,2025-04-18,100,,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,6,2025,16,16,2025-04-18,10,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,6,2025,16,16,2025-04-18,60,,TRUE
Greens Mix Mizuna // Central Red,A3,6,2025,16,16,2025-04-18,10,,TRUE
Greens Mix Purslane // Golden ,A3,6,2025,16,16,2025-04-18,10,yyj-24 down,TRUE
Greens Mix Tokyo Bekana // Tokyo Bekana,A3,6,2025,16,16,2025-04-18,10,,TRUE
Radish French Breakfast // French Breakfast,A3,7,2025,16,16,2025-04-18,100,,TRUE
Radish Purple // Bacchus,A3,7,2025,16,16,2025-04-18,100,,TRUE
Radish Red // Sora,A3,8,2025,16,16,2025-04-18,100,,TRUE
Bok Choy // Little Shanghai,B2,28,2025,16,16,2025-04-18,200,,TRUE
Broccolini // BC1611,B2,27,2025,16,16,2025-04-18,200,,TRUE
Broccolini // BC1611,B2,26,2025,16,16,2025-04-18,200,,TRUE
Broccolini // BC1611,B2,25,2025,16,16,2025-04-18,200,,TRUE
Broccolini // BC1611,B2,24,2025,16,16,2025-04-18,200,,TRUE
Broccolini // BC1611,B2,23,2025,16,16,2025-04-18,200,,TRUE
Cabbage Savoy // Alcosa,B2,22,2025,16,16,2025-04-18,200,,TRUE
Parsley // Giant of Italy,B3,27,2025,16,17,2025-04-23,200,,TRUE
Scallion // Parade,B3,28,2025,16,16,2025-04-17,100,,TRUE
Chard // Bright Lights,C1,1,2025,16,16,2025-04-17,200,,TRUE
Collards // Flash,C1,2,2025,16,16,2025-04-17,200,,TRUE
Collards // Flash,C1,3,2025,16,16,2025-04-17,200,,TRUE
Kale Curly // Winterbor,C1,4,2025,16,16,2025-04-17,200,,TRUE
Kale Curly // Winterbor,C1,5,2025,16,16,2025-04-17,200,,TRUE
Kale Curly // Winterbor,C1,6,2025,16,16,2025-04-17,200,,TRUE
Kale Lacinato // Ebony,C1,7,2025,16,16,2025-04-17,200,,TRUE
Kale Lacinato // Ebony,C1,8,2025,16,16,2025-04-17,200,,TRUE
Kale Lacinato // Ebony,C1,9,2025,16,16,2025-04-17,200,,TRUE
Kale Lacinato // Ebony,C1,10,2025,16,16,2025-04-17,200,,TRUE
Kale Lacinato // Ebony,C1,11,2025,16,16,2025-04-17,200,,TRUE
Dandelion // Clio,D2,4,2025,16,16,2025-04-16,200,,TRUE
Escarole // Eros,D2,5,2025,16,16,2025-04-16,200,,TRUE
Fennel // Orazio,D2,6,2025,16,16,2025-04-16,200,,TRUE
Lettuce Head // Alkindus,D2,7,2025,16,16,2025-04-16,25,,TRUE
Lettuce Head // Monte Carlo,D2,7,2025,16,16,2025-04-16,25,,TRUE
Lettuce Head // Queen of Hearts,D2,7,2025,16,16,2025-04-16,25,,TRUE
Lettuce Mini Gem // Gatsbi,D2,7,2025,16,16,2025-04-16,50,,TRUE
Lettuce Mini Gem // Rosaine,D2,7,2025,16,16,2025-04-16,75,,TRUE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,8,2025,16,16,2025-04-16,200,,TRUE
Radicchio Round // Indigo,D2,9,2025,16,16,2025-04-18,200,,TRUE
Radicchio Variegated // Giorgine,D2,10,2025,16,16,2025-04-18,200,,TRUE
Zucchini Green // Noche,D3,1,2025,16,16,2025-04-18,200,,TRUE
Zucchini Green // Noche,D3,2,2025,16,16,2025-04-18,200,,TRUE
Arugula // Astro,A3,8,2025,17,17,2025-04-25,100,,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,9,2025,17,17,2025-04-25,10,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,9,2025,17,17,2025-04-25,60,,TRUE
Greens Mix Mizuna // Central Red,A3,9,2025,17,17,2025-04-25,10,,TRUE
Greens Mix Purslane // Golden ,A3,9,2025,17,17,2025-04-25,10,,TRUE
Greens Mix Tokyo Bekana // Tokyo Bekana,A3,9,2025,17,17,2025-04-25,10,,TRUE
Radish French Breakfast // French Breakfast,A3,9,2025,17,17,2025-04-25,100,,TRUE
Radish Purple // Bacchus,A3,10,2025,17,17,2025-04-25,100,,TRUE
Radish Red // Sora,A3,10,2025,17,17,2025-04-25,100,,TRUE
Cabbage Chinese // Minuet,B2,21,2025,17,17,2025-04-24,200,,TRUE
Cabbage Chinese // Minuet,B2,20,2025,17,17,2025-04-24,200,,TRUE
Cabbage Cone // Caraflex,B2,17,2025,17,17,2025-04-24,100,plus 60' of omero,TRUE
Cabbage Red // Omero,B2,19,2025,17,17,2025-04-24,200,,TRUE
Cabbage Red // Omero,B2,18,2025,17,17,2025-04-24,200,,TRUE
Cauliflower Sprouting // Fioretto 70,B2,16,2025,17,17,2025-04-24,200,,TRUE
Cauliflower Sprouting // Fioretto 70,B2,15,2025,17,17,2025-04-24,200,,TRUE
Cauliflower Sprouting // Fioretto 70,B2,14,2025,17,17,2025-04-24,200,,TRUE
Scallion // Parade,B3,28,2025,17,17,2024-04-23,100,,TRUE
Frisee // Curlesi,D2,3,2025,17,17,2024-04-23,100,,TRUE
Zucchini Green // Noche,D3,7,2025,17,17,2025-04-24,200,,TRUE
Zucchini Green // Noche,D3,8,2025,17,17,2025-04-24,200,,TRUE
Zucchini Green // Noche,D3,9,2025,17,17,2025-04-24,200,,TRUE
Zucchini Green // Noche,D3,10,2025,17,17,2025-04-24,200,,TRUE
Zucchini Striped // Pantheon,D3,11,2025,17,17,2025-04-24,200,,TRUE
Zucchini Striped // Pantheon,D3,12,2025,17,17,2025-04-24,200,,TRUE
Zucchini Yellow // Golden Glory,D3,13,2025,17,17,2025-04-24,200,,TRUE
Zucchini Yellow // Golden Glory,D3,14,2025,17,17,2025-04-24,200,,TRUE
Onion Spring // Expression,A2,2,2025,18,17,2025-04-25,100,replace tropea,TRUE
Onion Spring // Monastrell,A2,2,2025,18,17,2025-04-25,100,replace tropea,TRUE
Arugula // Astro,A3,11,2025,18,19,2025-05-08,100,,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,11,2025,18,19,2025-05-08,10,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,11,2025,18,19,2025-05-08,60,,TRUE
Greens Mix Mizuna // Central Red,A3,11,2025,18,19,2025-05-08,10,,TRUE
Greens Mix Purslane // Golden ,A3,11,2025,18,1,2025-01-01,0,Cancelled due to rain - too wet to seed or make beds,TRUE
Greens Mix Tokyo Bekana // Tokyo Bekana,A3,11,2025,18,19,2025-05-08,10,,TRUE
Radish French Breakfast // French Breakfast,A3,12,2025,18,1,2025-01-01,0,Cancelled due to rain - too wet to seed or make beds,TRUE
Radish Purple // Bacchus,A3,12,2025,18,1,2025-01-01,0,Cancelled due to rain - too wet to seed or make beds,TRUE
Radish Red // Sora,A3,13,2025,18,1,2025-01-01,0,Cancelled due to rain - too wet to seed or make beds,TRUE
Bok Choy // Little Shanghai,B2,10,2025,18,18,2025-04-30,200,,TRUE
Broccolini // BC1611,B2,13,2025,18,18,2025-04-30,200,,TRUE
Broccolini // BC1611,B2,12,2025,18,18,2025-04-30,200,,TRUE
Broccolini // BC1611,B2,11,2025,18,18,2025-04-30,200,,TRUE
Celery // merengo,B3,22,2025,18,20,2025-05-13,200,"delayed 2 weeks - plants not ready, then too much rain",TRUE
Scallion // Parade,B3,24,2025,18,18,2025-04-30,100,,TRUE
Parsley // Giant of Italy,B3,25,2025,18,19,2025-05-05,200,,TRUE
Cilantro // Cruiser,B3,26,2025,18,18,2025-05-02,200,,TRUE
Collards // Flash,C1,12,2025,18,18,2025-04-30,200,,TRUE
Collards // Flash,C1,13,2025,18,18,2025-04-30,200,,TRUE
Kale Curly // Winterbor,C1,14,2025,18,18,2025-04-30,200,,TRUE
Kale Curly // Winterbor,C1,15,2025,18,18,2025-04-30,200,,TRUE
Kale Lacinato // Ebony,C1,16,2025,18,18,2025-04-30,200,,TRUE
Kale Lacinato // Ebony,C1,17,2025,18,18,2025-04-30,200,,TRUE
Kale Lacinato // Ebony,C1,18,2025,18,18,2025-04-30,200,,TRUE
Kale Lacinato // Ebony,C1,19,2025,18,18,2025-04-30,200,,TRUE
Chard // Bright Lights,C1,20,2025,18,18,2025-05-02,200,,TRUE
Chard // Bright Lights,C1,21,2025,18,18,2025-05-02,200,,TRUE
Beets Golden // Yellow Sunrise,C3,1,2025,18,18,2025-05-02,200,,TRUE
Beets Golden // Yellow Sunrise,C3,2,2025,18,18,2025-05-02,200,,TRUE
Beets Red // Red Ace F1,C3,3,2025,18,18,2025-05-02,200,,TRUE
Escarole // Eliance,D2,11,2025,18,18,2025-04-30,200,,TRUE
Lettuce Head // Alkindus,D2,12,2025,18,18,2025-04-30,25,,TRUE
Lettuce Head // Monte Carlo,D2,12,2025,18,18,2025-04-30,25,,TRUE
Lettuce Head // Queen of Hearts,D2,12,2025,18,18,2025-04-30,25,,TRUE
Lettuce Mini Gem // Gatsbi,D2,12,2025,18,18,2025-04-30,50,,TRUE
Lettuce Mini Gem // Rosaine,D2,12,2025,18,18,2025-04-30,75,,TRUE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,13,2025,18,18,2025-04-30,200,,TRUE
Cucumber // Corinto,HT3,4,2025,18,18,2025-05-02,100,,TRUE
Cucumber Persian // Katrina,HT3,1,2025,18,18,2025-05-02,100,,TRUE
Cucumber Persian // Katrina,HT3,2,2025,18,18,2025-05-02,100,,TRUE
Cucumber Pickling // Excelsior,HT3,3,2025,18,18,2025-05-02,100,,TRUE
Radish French Breakfast // French Breakfast,A3,12,2025,19,20,2025-05-15,200,increased seeding size due to missed planting previous week.,TRUE
Arugula // Astro,A3,13,2025,19,1,2025-01-01,0,cancelled due to weather,TRUE
Radish Purple // Bacchus,A3,13,2025,19,20,2025-05-15,200,increased seeding size due to missed planting previous week.,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,14,2025,19,1,2025-01-01,0,cancelled due to weather,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,14,2025,19,1,2025-01-01,0,cancelled due to weather,TRUE
Greens Mix Mizuna // Central Red,A3,14,2025,19,1,2025-01-01,0,cancelled due to weather,TRUE
Greens Mix Purslane // Golden ,A3,14,2025,19,1,2025-01-01,0,cancelled due to weather,TRUE
Greens Mix Tokyo Bekana // Tokyo Bekana,A3,14,2025,19,1,2025-01-01,0,cancelled due to weather,TRUE
Radish Red // Sora,A3,14,2025,19,20,2025-05-15,200,increased seeding size due to missed planting previous week.,TRUE
Cabbage Cone // Caraflex,B2,8,2025,19,20,2025-05-14,200,,TRUE
Cabbage Cone // Caraflex,B2,7,2025,19,20,2025-05-14,200,,TRUE
Cabbage Red // Omero,B2,4,2025,19,20,2025-05-14,200,,TRUE
Cabbage Red // Omero,B2,5,2025,19,20,2025-05-14,200,,TRUE
Cabbage Red // Omero,B2,6,2025,19,20,2025-05-14,200,,TRUE
Cabbage Savoy // Alcosa,B2,3,2025,19,20,2025-05-14,200,,TRUE
Dill // Thalia,B3,21,2025,19,20,2025-05-15,50,"edited plan so that dill is planted on the same schedule as Cilantro, reduced cilantro to 150""",TRUE
Scallion // Parade,B3,24,2025,19,19,2025-05-08,100,,TRUE
Fennel // Orazio,D2,14,2025,19,20,2025-05-13,200,,TRUE
Radicchio Round // Indigo,D2,19,2025,19,20,2025-05-15,200,,TRUE
Radicchio Variegated // Giorgine,D2,20,2025,19,20,2025-05-15,200,,TRUE
Zucchini Green // Noche,D3,15,2025,19,20,2025-05-12,200,,TRUE
Zucchini Green // Noche,D3,16,2025,19,20,2025-05-12,200,,TRUE
Zucchini Green // Noche,D3,17,2025,19,20,2025-05-12,200,,TRUE
Zucchini Green // Noche,D3,18,2025,19,20,2025-05-12,200,,TRUE
Zucchini Striped // Pantheon,D3,19,2025,19,20,2025-05-12,200,,TRUE
Zucchini Yellow // Golden Glory,D3,20,2025,19,20,2025-05-12,200,,TRUE
Zucchini Yellow // Golden Glory,D3,21,2025,19,20,2025-05-12,200,,TRUE
Zucchini Yellow // Golden Glory,D3,22,2025,19,20,2025-05-12,200,,TRUE
Potato White // Dark Red Norland,X1,1,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Dark Red Norland,X1,2,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Dark Red Norland,X1,3,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Dark Red Norland,X1,4,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,FALSE
Potato White // Kennebec,X1,5,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Kennebec,X1,6,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Kennebec,X1,7,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Kennebec,X1,8,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Kennebec,X1,9,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Kennebec,X1,10,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Kennebec,X1,11,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Kennebec,X1,12,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Kennebec,X1,13,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Kennebec,X1,14,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,FALSE
Potato White // Purple Viking,X1,15,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Purple Viking,X1,16,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Purple Viking,X1,17,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,FALSE
Potato Yellow // Satina,X1,18,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Yellow // Satina,X1,19,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Yellow // Satina,X1,20,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Yellow // Satina,X1,21,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Yellow // Satina,X1,22,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Yellow // Satina,X1,23,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Yellow // Satina,X1,24,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Yellow // Satina,X1,25,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Yellow // Satina,X1,26,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Yellow // Satina,X1,27,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,FALSE
Potato Blue // Adirondack Blue,X2,23,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Blue // Adirondack Blue,X2,24,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Blue // Adirondack Blue,X2,25,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,FALSE
Potato Blue // All Blue,X2,26,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Blue // All Blue,X2,27,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato Blue // All Blue,X2,28,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,FALSE
Potato White // Dark Red Norland,X2,29,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,TRUE
Potato White // Dark Red Norland,X2,30,2025,19,20,2025-05-12,200,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,FALSE
Tomato Cherry Mix // Artemis,HT4,8,2025,19,19,2025-05-09,25,,TRUE
Tomato Cherry Mix // Chocolate Sprinkles,HT4,8,2025,19,19,2025-05-09,50,,TRUE
Tomato Cherry Mix // Favorita,HT4,8,2025,19,19,2025-05-09,25,,TRUE
Tomato Cherry Mix // Honey Bee,HT4,7,2025,19,19,2025-05-09,40,,TRUE
Tomato Cherry Mix // HoneyCrisp,HT4,7,2025,19,19,2025-05-09,10,,TRUE
Tomato Cherry Mix // HoneyGold,HT4,7,2025,19,19,2025-05-09,10,,TRUE
Tomato Cherry Mix // Mimi,HT4,7,2025,19,19,2025-05-09,40,,TRUE
Tomato Cherry Mix // SunGreen,HT4,6,2025,19,19,2025-05-09,50,,TRUE
Tomato Cherry Mix // Sunpeach,HT4,6,2025,19,19,2025-05-09,50,,TRUE
Tomato Cherry Sungold // SunOrange,HT4,5,2025,19,19,2025-05-09,100,,TRUE
Tomato Cherry Sungold // SunOrange,HT4,4,2025,19,19,2025-05-09,100,,TRUE
Tomato Cherry Sungold // SunOrange,HT4,3,2025,19,19,2025-05-09,100,,TRUE
Tomato Heirloom // Beorange,HT4,2,2025,19,19,2025-05-09,100,,TRUE
Tomato Heirloom // Marnouar,HT4,1,2025,19,19,2025-05-09,100,,TRUE
