Crop,Variety,Season Year,Planned Quantity,Unit,Notes
Lettuce Mix SN,(Spring/Fall) Prismatic + Butters,2026,22963,ea,
Lettuce Mix SN,Green Batavia,2026,0,,
Lettuce Mix SN,Green Oakleaf,2026,0,,
Lettuce Mix SN,Red Gem SN,2026,0,,
Lettuce Mix SN,Red Inscised SN,2026,0,,
Lettuce Mix SN,Red Oakleaf,2026,0,,
Lettuce Mix SN,Rhone,2026,0,,
Lettuce Mix SN,(Summer) Foundation Mix + Batavia,2026,6656,ea,
Okra,Annie Oakley OP,2026,0,,
Okra,Carmine Splendor,2026,0,ea,
Okra,Jambalaya,2026,0,ea,
Onion Spring,Ailsa Craig,2026,0,,
Onion Spring,Blush,2026,0,,
Onion Spring,Expression,2026,0,ea,
Onion Spring,Monastrell,2026,0,ea,
Onion Spring,Red Tropea,2026,0,,
Lettuce Mix SN,(Winter) Prismatic + Batavian,2026,7987,,
Mustard,Miike Giant,2026,2330,,Old AF
Oats & Peas,Standard,2026,5577000,,
Parsley,Giant of Italy,2026,29952,oz,12/24
Peas Snap PP,Super Sugar Snap,2026,0,lb,
Pea Shelling,PLS595,2026,18720,lb,
Pea Snap,Super Sugar Snap,2026,28080,lb,
Pea Snap,Sweet Gem,2026,28080,lb,
Pepper Hot,Salvatierra,2026,0,,
Pepper Lunchbox,Lunchbox Mix,2026,0,,
Pepper Carmen,Carmen,2026,1976,ea,
Pepper Shishito,Shishito,2026,0,,
Pepper Hot,Amazing,2026,741,,
Potato Blue,All Blue,2026,0,lbs,
Potato Fingerling,Amarosa,2026,0,,
Potato Fingerling,French,2026,0,,
Potato Fingerling,LaRatte,2026,0,,
Pepper Hot,Jedi Jalapeno,2026,247,,
Pepper Shishito,Shishimai,2026,494,ea,
Potato Blue,Adirondack Blue,2026,130,lbs,
Potato White,Superior,2026,0,,
Potato White,Dark Red Norland,2026,195,lbs,
Puntarelle,Galatina,2026,0,,
Potato White,Kennebec,2026,325,lbs,
Radicchio Forced,Incanatore,2026,0,,
Radicchio Forced,Tardivo,2026,0,,
Potato White,Purple Viking,2026,163,lbs,
Potato Yellow,Satina,2026,325,lbs,
Radicchio Round,Leonardo,2026,0,ea,
Puntarelle,Medusa,2026,1331,ea,
Radicchio Pink,Rosa Alba,2026,2662,ea,
Radicchio Round,Indigo,2026,3661,ea,9/24 Pe
Radicchio Treviso,Fiero,2026,0,,
Radicchio Round,T&T 614,2026,1997,ea,
Radicchio Round,Vasari,2026,0,,
Radicchio Treviso,Spring Treviso,2026,0,,
Radicchio Treviso,TVG1 Treviso,2026,0,,
Radicchio Treviso,Baldo (T&T 306),2026,666,ea,3/24
Radicchio Variegated,Bel Fiore,2026,0,,
Radicchio Variegated,Bel Fiore,2026,0,,
Radicchio Treviso,Regina Rosa,2026,666,ea,
Radicchio Treviso,Sangria,2026,666,ea,
Radicchio Variegated,Aquerello,2026,0,ea,
Radicchio Variegated,Beatrice,2026,666,ea,
Radicchio Variegated,Giorgine,2026,2662,ea,
Radicchio Variegated,Mirabella,2026,666,ea,
Radish Daikon Mix,Mix Mix,2026,0,,
Radish Daikon Bulk,Artesia,2026,7800,oz,
Radish French Breakfast,Patricia,2026,0,,
Radish Daikon Bulk,Bora Nam,2026,7800,oz,
Radish Red,Rover,2026,0,,
Radish Daikon Bulk,Red King 2,2026,7800,lb,
Radish Daikon Bulk,Red Meat,2026,15600,lb,
Radish French Breakfast,French Breakfast,2026,182000,lb,
Radish Purple,Bacchus,2026,158600,ea,
Radish Red,Sora,2026,140400,ea,
Scallion,Parade,2026,118061,ea,
Spinach,Kolibri,2026,43930,ea,
Sweet Potato Covington,Covington,2026,0,,
Sweet Potato Murasaki,Murasaki,2026,0,,
Sweet Potato Murasaki,Purple Majesty (Trial),2026,0,,
Spinach,Rangitoto,2026,10982,ea,
Spinach,Space,2026,10982,ea,
Spinach,Sunangel,2026,10982,ea,
Tomato Cherry Mix,Artemis,2026,494,ea,
Tomato Cherry Mix,HoneyCrisp,2026,0,,
Tomato Cherry Mix,HoneyGold,2026,0,,
Tomato Cherry Mix,Chocolate Sprinkles,2026,494,ea,
Tomato Cherry Mix,Suncitron,2026,0,,
Spinach,Tarsier,2026,10982,ea,
Tomato Cherry Mix,Attracta,2026,494,ea,
Tomato Cherry Mix,Attracta,2026,494,,
Tomato Cherry Mix,Honey Bee,2026,494,ea,
Tomato Heirloom,Black Pineapple,2026,0,,
Tomato Heirloom,Cherokee Purple,2026,0,,
Tomato Heirloom,Green Zebra,2026,0,,
Tomato Heirloom,Jubilee,2026,0,,
Tomato Cherry Mix,Mimi,2026,494,ea,
Tomato Heirloom,Pink Berkley Tie Dye,2026,0,,
Tomato Heirloom,Speckled Roman,2026,0,,
Tomato Heirloom,Striped German,2026,0,,
Tomato Heirloom,Valencia,2026,0,,
Tomato Red,Abagail,2026,0,,
Tomato Red,Arbason,2026,0,,
Tomato Red,Marmalade,2026,0,,
Tomato Sauce,Juliet,2026,0,,
Tomato Cherry Mix,SunGreen,2026,494,ea,
Turnip,Hakurei,2026,0,oz,
Turnip,Hirosaki,2026,0,oz,
Turnip,Violet Queen,2026,0,,
Turnip Bulk,Purple Top,2026,0,,
Turnip Bulk,Red,2026,0,,
Turnip Bulk,Rutabaga,2026,0,,
Tomato Heirloom,Beorange,2026,0,ea,
Tomato Cherry Mix,Sunpeach,2026,494,ea,
Tomato Cherry Sungold,SunOrange,2026,1482,ea,
Tomato Heirloom,MarMango,2026,494,,
Winter Squash Delicata,Jester,2026,0,,
Tomato Heirloom,Marnouar,2026,494,ea,
Tomato Sauce,Tiren,2026,494,,
Triticale & Winter Peas,Standard,2026,527280,,
Winter Squash Acorn,Night Shift,2026,455,ea,
Zucchini Green,Green Machine,2026,0,,
Winter Squash Butternut,Waltham,2026,390,,
Winter Squash Delicata,Delicata JS,2026,228,oz,
Winter Squash Delicata,Honeyboat,2026,455,oz,
Winter Squash Honeynut,Honeynut,2026,520,,
Winter Squash Kabocha,Black Futsu,2026,228,ea,
Winter Squash Kabocha,Tetsukabuto,2026,455,ea,
Sudan Grass & Sunn Hemp,Standard,2026,0,,
Winter Squash Koginut,Autumn Frost,2026,260,ea,
Zucchini Green,Noche,2026,975,ea,
Zucchini Striped,Pantheon,2026,293,ea,
Zucchini Yellow,Golden Glory,2026,488,ea,
Sweet Corn,Superb,2026,1560,,
Sweet Corn,Vision,2026,1560,,
