Crop,Type,Botanical Family,Fresh or Storage,Storage Weeks,Can Hold In Field,Harvest Units,Average Unit Weight,Units Per Bin,Harvest Bin,Harvest Tools,Harvest Rate (units per hour),Nursery Weeks,Weeks Until Pot Up,Pot Up Tray Size,Seeded Tray Size,Seeds Per Cell,Thinned Plants,Seeds Per Ounce
Winter Squash Koginut,Winter Squash,Cucurbit,Storage,24,No,eaches,1,150,bulk bin,5 gal bucket,60,3,,,50,1,,450
Zucchini Green,Zucchini,Cucurbit,Storage,2,No,pounds,1,30,rubbermaid,Knife,90,4,,,50,1,,200
Zucchini Striped,Zucchini,Cucurbit,Storage,2,No,pounds,1,30,rubbermaid,Knife,90,4,,,50,1,,200
Zucchini Yellow,Zucchini,Cucurbit,Storage,2,No,pounds,1,30,rubbermaid,Knife,90,4,,,50,1,,200
Greens Mix Purslane,Salad Greens,Mallow,Fresh Perishable,0,No,pounds,1,30,rubbermaid,Knife,20,,,,,,,65000
Arugula Wild,Salad Greens,Brassica,Fresh Holds,0,Yes,pounds,1,16,rubbermaid,Knife,16,4,,,128,30,,81000
Oats & Peas,Cover Crop,,Fresh Holds,,,,,,,,,,,,,,,
Buckwheat,Cover Crop,,Fresh Holds,,,,,,,,,,,,,,,
Triticale & Winter Peas,Cover Crop,,Fresh Holds,,,,,,,,,,,,,,,
Sudan Grass & Sunn Hemp,Cover Crop,,Fresh Holds,,,,,,,,,,,,,,,
Sweet Corn,Specialty/Misc,,Storage,1,No,eaches,1,40,rubbermaid,Snips,100,,,,,,,150
Cucumber Persian,Cucumbers,Cucurbit,Storage,1,No,pounds,,,,,,,,,,,,
