Crop,Type,Botanical Family,Propagation Type,Is Perennial,Fresh or Storage,Storage Weeks,Can Hold In Field,Harvest Units,Average Unit Weight,Units Per Bin,Harvest Bin,Harvest Tools,Harvest Rate (units per hour),Nursery Weeks,Weeks Until Pot Up,Pot Up Tray Size,Seeded Tray Size,Seeds Per Cell,Thinned Plants,Seeds Per Ounce
Pepper Hot,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Pepper Shishito,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Potato Red,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Potato White,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Puntarelle,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cabbage Cone Storage,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cabbage Red,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Radish Daikon Mix,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Radish French Breakfast,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Radish Purple,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Radish Red,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cabbage Savoy,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Carrot Bulk,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Sweet Potato Covington,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Tomato Cherry Mix,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Tomato Cherry Sungold,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Tomato Heirloom,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Tomato Sauce,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Turnip,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Winter Squash Acorn,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Winter Squash Delicata,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Chard,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Winter Squash Honeynut,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Winter Squash Kabocha,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Zucchini Green,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Zucchini Striped,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Zucchini Yellow,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Collards,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cucumber Katrina,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Garlic,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Kale Curly,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Kale Lacinato,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Kale Russian,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Kohlrabi Storage,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Mustard,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Potato Blue,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Potato Yellow,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Radicchio Forced,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Radicchio Round,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Radicchio Treviso,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Radicchio Variegated,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Radish Daikon Bulk,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Salad Mix,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Scallion,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Spinach,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Sweet Potato Murasaki,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Winter Squash Butternut,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Winter Squash Futsu,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Winter Squash Koginut,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Eggs,Other,Gallus,,,fresh,0,FALSE,eaches,1.00,12,carton,,,0,0,,,1,0,
