Planting ID,Walk Date,Condition,Yield Adjust %,Notes,Crop // Variety,Block,Bed,Plan Field Year,Plan Field Week
,2024-02-28,Good,100,Eaten by critters!,Kale Lacinato // Black Magic,CAT3,1,2024,10
,2024-03-28,Good,100,,Lettuce Mix SN // Red Sweet Crisp,HT1,1,2024,10
,2024-03-14,Good,100,,Arugula // Astro,HT2,5,2024,10
,2024-02-28,Good,100,,Lettuce Mini Gem // Rosaine,HT5,8,2024,10
,2024-02-28,Good,100,Plant 2 rows 1' next time,Broccolini // BC1611,JSS,3,2024,10
,2025-03-28,Good,100,,Spinach // Kolibri,CAT3,1,2025,10
,2025-03-26,Good,100,,Spinach // Kolibri,CAT3,2,2025,10
,2025-03-26,Good,100,,Spinach // Kolibri,CAT3,3,2025,10
,2025-03-05,Good,100,Interplant with peas,Arugula // Astro,HT5,5,2025,10
,2025-03-05,Good,100,Interplant with peas,Arugula // Astro,HT5,7,2025,10
,2025-03-21,Good,100,Interplant with peas,Arugula // Astro,HT5,1,2025,10
,2025-03-21,Good,100,Interplant with peas,Arugula // Astro,HT5,3,2025,10
,2025-03-14,Good,100,75' mei qing / 25' Bl summer,Bok Choy // Little Shanghai,HT5,4,2025,10
,2025-03-05,Good,100,"Not in plan, replaced missed Bok Choy from wk 8",Greens Mix Baby Kale // Red Russian Kale,HT5,6,2025,10
,2025-03-05,Good,100,"Not in plan, replaced missed Bok Choy from wk 8",Greens Mix Cheap Frills // Cheap Frills,HT5,6,2025,10
,2025-03-21,Good,100,"Soaked, then Direct Seeded 5# / bed",Peas Snap PP // Super Sugar Snap,HT5,1,2025,10
,2025-03-21,Good,100,"Soaked, then Direct Seeded 5# / bed",Peas Snap PP // Super Sugar Snap,HT5,3,2025,10
,2025-03-05,Good,100,,Peas Snap PP // Sweet Gem,HT5,7,2025,10
,2025-03-05,Good,100,,Peas Snap PP // Sweet Gem,HT5,5,2025,10
,2024-03-28,Good,100,"4x6"" dibble spacing",Spinach // Kolibri,CAT3,1,2024,11
,2024-03-28,Good,100,"4x6"" dibble spacing",Spinach // Kolibri,CAT3,2,2024,11
,2024-03-28,Good,100,"4x6"" dibble spacing",Spinach // Kolibri,CAT3,3,2024,11
,2025-03-21,Good,100,,Kale Lacinato // Ebony,CAT1,1,2025,11
,2025-03-21,Good,100,,Kale Lacinato // Ebony,CAT1,2,2025,11
,2025-04-04,Good,100,,Kale Lacinato // Ebony,CAT1,3,2025,11
,2024-03-28,Good,100,,Arugula // Astro,HT2,5,2024,12
,2024-04-05,Good,100,Pre-soaked,Pea Snap // Sugar Snap,HT3,7,2024,12
,2024-04-05,Good,100,Pre-soaked,Pea Snap // Sugar Snap,HT3,8,2024,12
,2025-03-21,Good,100,"50 Li Ren, 25' Black Summer', DS Frills in additional 25'",Bok Choy // Little Shanghai,HT5,2,2025,12
,2025-03-21,Good,100,"Not in plan, filled in space at end of Bok bed",Greens Mix Cheap Frills // Cheap Frills,HT5,2,2025,12
,2024-03-28,Good,100,"1/2 plants started wk 3, 1/2 from wk 6 (intended orginally to go outside)",Scallion // Nabechan,CAT2,1,2024,13
,2024-03-28,Good,100,,Spinach // Kolibri,CAT3,7,2024,13
,2024-03-28,Good,100,,Spinach // Kolibri,CAT3,8,2024,13
,2024-03-27,Good,100,"2x12"" large dibbles",Kale Lacinato // Black Magic,CAT4,1,2024,13
,2024-03-27,Good,100,"2x12"" large dibbles",Kale Lacinato // Black Magic,CAT4,2,2024,13
,2024-03-27,Good,100,"2x12"" large dibbles",Kale Lacinato // Black Magic,CAT4,3,2024,13
,2024-03-28,Good,100,seeded under bc1611 transplants,Radish French Breakfast // French Breakfast,HT3,1,2024,13
,2024-03-29,Good,100,Stacy's first seeding!,Radish Red // Sora,HT3,6,2024,13
,2024-03-29,Good,100,,Radish Round Purple // Bacchus,HT3,5,2024,13
,2024-03-28,Good,100,"Violet Queen, seeded beneath bc1611 transplants",Turnip // Hakurei,JSS,3,2024,13
,2025-04-04,Good,100,,Arugula // Astro,A3,1,2025,14
,2025-04-04,Good,100,,Greens Mix Baby Kale // Red Russian Kale,A3,1,2025,14
,2025-04-04,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,1,2025,14
,2025-04-04,Good,100,,Greens Mix Mizuna // Central Red,A3,1,2025,14
,2025-04-04,Good,100,,Greens Mix Rosie // Rosie,A3,1,2025,14
,2025-04-04,Good,100,,Greens Mix Tokyo Bekana // Tokyo Bekana,A3,1,2025,14
,2025-04-04,Good,100,,Radish French Breakfast // French Breakfast,A3,2,2025,14
,2025-04-04,Good,100,,Radish Purple // Bacchus,A3,2,2025,14
,2025-04-04,Good,100,,Radish Red // Sora,A3,3,2025,14
,2025-04-04,Good,100,,Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,1,2025,14
,2025-04-04,Good,100,,Lettuce Head // Alkindus,D2,2,2025,14
,2025-04-04,Good,100,,Lettuce Head // Monte Carlo,D2,2,2025,14
,2025-04-04,Good,100,,Lettuce Head // Queen of Hearts,D2,2,2025,14
,2025-04-04,Good,100,,Lettuce Mini Gem // Gatsbi,D2,2,2025,14
,2025-04-04,Good,100,,Lettuce Mini Gem // Rosaine,D2,2,2025,14
,2025-04-04,Good,100,,Frisee // Curlesi,D2,3,2025,14
,2025-04-04,Good,100,"extra, planted with frisee",Lettuce Head // Alkindus,D2,3,2025,14
,2025-04-04,Good,100,"PP Transplanted 100' cat 1 bed 1, and 100' Cat 4 bed 3",Pea Shelling // PLS595,CAT1,1,2025,15
,2025-04-25,Good,100,,Onion Spring // Expression,A2,1,2025,15
,2025-04-25,Good,100,,Onion Spring // Monastrell,A2,3,2025,15
,2000-01-01,Good,100,Cancelled - tropea seed was old and didnt germ,Onion Spring // Red Tropea,A2,3,2025,15
,2025-04-11,Good,100,,Arugula // Astro,A3,3,2025,15
,2025-04-11,Good,100,,Greens Mix Baby Kale // Red Russian Kale,A3,4,2025,15
,2025-04-11,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,4,2025,15
,2025-04-11,Good,100,,Greens Mix Mizuna // Central Red,A3,4,2025,15
,2025-04-11,Good,100,,Greens Mix Rosie // Rosie,A3,4,2025,15
,2025-04-11,Good,100,,Greens Mix Tokyo Bekana // Tokyo Bekana,A3,4,2025,15
,2025-04-11,Good,100,,Radish French Breakfast // French Breakfast,A3,4,2025,15
,2025-04-11,Good,100,,Radish Purple // Bacchus,A3,5,2025,15
,2025-04-11,Good,100,,Radish Red // Sora,A3,5,2025,15
,2025-04-11,Good,100,,Scallion // Parade,B3,29,2025,15
,2025-04-11,Good,100,,Cilantro // Cruiser,B3,30,2025,15
,2025-04-18,Good,100,,Arugula // Astro,A3,6,2025,16
,2025-04-18,Good,100,,Greens Mix Baby Kale // Red Russian Kale,A3,6,2025,16
,2025-04-18,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,6,2025,16
,2025-04-18,Good,100,,Greens Mix Mizuna // Central Red,A3,6,2025,16
,2025-04-18,Good,100,yyj-24 down,Greens Mix Purslane // Golden ,A3,6,2025,16
,2025-04-18,Good,100,,Greens Mix Tokyo Bekana // Tokyo Bekana,A3,6,2025,16
,2025-04-18,Good,100,,Radish French Breakfast // French Breakfast,A3,7,2025,16
,2025-04-18,Good,100,,Radish Purple // Bacchus,A3,7,2025,16
,2025-04-18,Good,100,,Radish Red // Sora,A3,8,2025,16
,2025-04-18,Good,100,,Bok Choy // Little Shanghai,B2,28,2025,16
,2025-04-18,Good,100,,Broccolini // BC1611,B2,27,2025,16
,2025-04-18,Good,100,,Broccolini // BC1611,B2,26,2025,16
,2025-04-18,Good,100,,Broccolini // BC1611,B2,25,2025,16
,2025-04-18,Good,100,,Broccolini // BC1611,B2,24,2025,16
,2025-04-18,Good,100,,Broccolini // BC1611,B2,23,2025,16
,2025-04-18,Good,100,,Cabbage Savoy // Alcosa,B2,22,2025,16
,2025-04-23,Good,100,,Parsley // Giant of Italy,B3,27,2025,16
,2025-04-17,Good,100,,Scallion // Parade,B3,28,2025,16
,2025-04-17,Good,100,,Chard // Bright Lights,C1,1,2025,16
,2025-04-17,Good,100,,Collards // Flash,C1,2,2025,16
,2025-04-17,Good,100,,Collards // Flash,C1,3,2025,16
,2025-04-17,Good,100,,Kale Curly // Winterbor,C1,4,2025,16
,2025-04-17,Good,100,,Kale Curly // Winterbor,C1,5,2025,16
,2025-04-17,Good,100,,Kale Curly // Winterbor,C1,6,2025,16
,2025-04-17,Good,100,,Kale Lacinato // Ebony,C1,7,2025,16
,2025-04-17,Good,100,,Kale Lacinato // Ebony,C1,8,2025,16
,2025-04-17,Good,100,,Kale Lacinato // Ebony,C1,9,2025,16
,2025-04-17,Good,100,,Kale Lacinato // Ebony,C1,10,2025,16
,2025-04-17,Good,100,,Kale Lacinato // Ebony,C1,11,2025,16
,2025-04-16,Good,100,,Dandelion // Clio,D2,4,2025,16
,2025-04-16,Good,100,,Escarole // Eros,D2,5,2025,16
,2025-04-16,Good,100,,Fennel // Orazio,D2,6,2025,16
,2025-04-16,Good,100,,Lettuce Head // Alkindus,D2,7,2025,16
,2025-04-16,Good,100,,Lettuce Head // Monte Carlo,D2,7,2025,16
,2025-04-16,Good,100,,Lettuce Head // Queen of Hearts,D2,7,2025,16
,2025-04-16,Good,100,,Lettuce Mini Gem // Gatsbi,D2,7,2025,16
,2025-04-16,Good,100,,Lettuce Mini Gem // Rosaine,D2,7,2025,16
,2025-04-16,Good,100,,Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,8,2025,16
,2025-04-18,Good,100,,Radicchio Round // Indigo,D2,9,2025,16
,2025-04-18,Good,100,,Radicchio Variegated // Giorgine,D2,10,2025,16
,2025-04-18,Good,100,,Zucchini Green // Noche,D3,1,2025,16
,2025-04-18,Good,100,,Zucchini Green // Noche,D3,2,2025,16
,2025-04-25,Good,100,,Arugula // Astro,A3,8,2025,17
,2025-04-25,Good,100,,Greens Mix Baby Kale // Red Russian Kale,A3,9,2025,17
,2025-04-25,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,9,2025,17
,2025-04-25,Good,100,,Greens Mix Mizuna // Central Red,A3,9,2025,17
,2025-04-25,Good,100,,Greens Mix Purslane // Golden ,A3,9,2025,17
,2025-04-25,Good,100,,Greens Mix Tokyo Bekana // Tokyo Bekana,A3,9,2025,17
,2025-04-25,Good,100,,Radish French Breakfast // French Breakfast,A3,9,2025,17
,2025-04-25,Good,100,,Radish Purple // Bacchus,A3,10,2025,17
,2025-04-25,Good,100,,Radish Red // Sora,A3,10,2025,17
,2025-04-24,Good,100,,Cabbage Chinese // Minuet,B2,21,2025,17
,2025-04-24,Good,100,,Cabbage Chinese // Minuet,B2,20,2025,17
,2025-04-24,Good,100,plus 60' of omero,Cabbage Cone // Caraflex,B2,17,2025,17
,2025-04-24,Good,100,,Cabbage Red // Omero,B2,19,2025,17
,2025-04-24,Good,100,,Cabbage Red // Omero,B2,18,2025,17
,2025-04-24,Good,100,,Cauliflower Sprouting // Fioretto 70,B2,16,2025,17
,2025-04-24,Good,100,,Cauliflower Sprouting // Fioretto 70,B2,15,2025,17
,2025-04-24,Good,100,,Cauliflower Sprouting // Fioretto 70,B2,14,2025,17
,2024-04-23,Good,100,,Scallion // Parade,B3,28,2025,17
,2024-04-23,Good,100,,Frisee // Curlesi,D2,3,2025,17
,2025-04-24,Good,100,,Zucchini Green // Noche,D3,7,2025,17
,2025-04-24,Good,100,,Zucchini Green // Noche,D3,8,2025,17
,2025-04-24,Good,100,,Zucchini Green // Noche,D3,9,2025,17
,2025-04-24,Good,100,,Zucchini Green // Noche,D3,10,2025,17
,2025-04-24,Good,100,,Zucchini Striped // Pantheon,D3,11,2025,17
,2025-04-24,Good,100,,Zucchini Striped // Pantheon,D3,12,2025,17
,2025-04-24,Good,100,,Zucchini Yellow // Golden Glory,D3,13,2025,17
,2025-04-24,Good,100,,Zucchini Yellow // Golden Glory,D3,14,2025,17
,2025-04-25,Good,100,replace tropea,Onion Spring // Expression,A2,2,2025,18
,2025-04-25,Good,100,replace tropea,Onion Spring // Monastrell,A2,2,2025,18
,2025-05-08,Good,100,,Arugula // Astro,A3,11,2025,18
,2025-05-08,Good,100,,Greens Mix Baby Kale // Red Russian Kale,A3,11,2025,18
,2025-05-08,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,11,2025,18
,2025-05-08,Good,100,,Greens Mix Mizuna // Central Red,A3,11,2025,18
,2025-01-01,Good,100,Cancelled due to rain - too wet to seed or make beds,Greens Mix Purslane // Golden ,A3,11,2025,18
,2025-05-08,Good,100,,Greens Mix Tokyo Bekana // Tokyo Bekana,A3,11,2025,18
,2025-01-01,Good,100,Cancelled due to rain - too wet to seed or make beds,Radish French Breakfast // French Breakfast,A3,12,2025,18
,2025-01-01,Good,100,Cancelled due to rain - too wet to seed or make beds,Radish Purple // Bacchus,A3,12,2025,18
,2025-01-01,Good,100,Cancelled due to rain - too wet to seed or make beds,Radish Red // Sora,A3,13,2025,18
,2025-04-30,Good,100,,Bok Choy // Little Shanghai,B2,10,2025,18
,2025-04-30,Good,100,,Broccolini // BC1611,B2,13,2025,18
,2025-04-30,Good,100,,Broccolini // BC1611,B2,12,2025,18
,2025-04-30,Good,100,,Broccolini // BC1611,B2,11,2025,18
,2025-05-13,Good,100,"delayed 2 weeks - plants not ready, then too much rain",Celery // merengo,B3,22,2025,18
,2025-04-30,Good,100,,Scallion // Parade,B3,24,2025,18
,2025-05-05,Good,100,,Parsley // Giant of Italy,B3,25,2025,18
,2025-05-02,Good,100,,Cilantro // Cruiser,B3,26,2025,18
,2025-04-30,Good,100,,Collards // Flash,C1,12,2025,18
,2025-04-30,Good,100,,Collards // Flash,C1,13,2025,18
,2025-04-30,Good,100,,Kale Curly // Winterbor,C1,14,2025,18
,2025-04-30,Good,100,,Kale Curly // Winterbor,C1,15,2025,18
,2025-04-30,Good,100,,Kale Lacinato // Ebony,C1,16,2025,18
,2025-04-30,Good,100,,Kale Lacinato // Ebony,C1,17,2025,18
,2025-04-30,Good,100,,Kale Lacinato // Ebony,C1,18,2025,18
,2025-04-30,Good,100,,Kale Lacinato // Ebony,C1,19,2025,18
,2025-05-02,Good,100,,Chard // Bright Lights,C1,20,2025,18
,2025-05-02,Good,100,,Chard // Bright Lights,C1,21,2025,18
,2025-05-02,Good,100,,Beets Golden // Yellow Sunrise,C3,1,2025,18
,2025-05-02,Good,100,,Beets Golden // Yellow Sunrise,C3,2,2025,18
,2025-05-02,Good,100,,Beets Red // Red Ace F1,C3,3,2025,18
,2025-04-30,Good,100,,Escarole // Eliance,D2,11,2025,18
,2025-04-30,Good,100,,Lettuce Head // Alkindus,D2,12,2025,18
,2025-04-30,Good,100,,Lettuce Head // Monte Carlo,D2,12,2025,18
,2025-04-30,Good,100,,Lettuce Head // Queen of Hearts,D2,12,2025,18
,2025-04-30,Good,100,,Lettuce Mini Gem // Gatsbi,D2,12,2025,18
,2025-04-30,Good,100,,Lettuce Mini Gem // Rosaine,D2,12,2025,18
,2025-04-30,Good,100,,Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,13,2025,18
,2025-05-02,Good,100,,Cucumber // Corinto,HT3,4,2025,18
,2025-05-02,Good,100,,Cucumber Persian // Katrina,HT3,1,2025,18
,2025-05-02,Good,100,,Cucumber Persian // Katrina,HT3,2,2025,18
,2025-05-02,Good,100,,Cucumber Pickling // Excelsior,HT3,3,2025,18
,2025-05-15,Good,100,increased seeding size due to missed planting previous week.,Radish French Breakfast // French Breakfast,A3,12,2025,19
,2025-01-01,Good,100,cancelled due to weather,Arugula // Astro,A3,13,2025,19
,2025-05-15,Good,100,increased seeding size due to missed planting previous week.,Radish Purple // Bacchus,A3,13,2025,19
,2025-01-01,Good,100,cancelled due to weather,Greens Mix Baby Kale // Red Russian Kale,A3,14,2025,19
,2025-01-01,Good,100,cancelled due to weather,Greens Mix Cheap Frills // Cheap Frills,A3,14,2025,19
,2025-01-01,Good,100,cancelled due to weather,Greens Mix Mizuna // Central Red,A3,14,2025,19
,2025-01-01,Good,100,cancelled due to weather,Greens Mix Purslane // Golden ,A3,14,2025,19
,2025-01-01,Good,100,cancelled due to weather,Greens Mix Tokyo Bekana // Tokyo Bekana,A3,14,2025,19
,2025-05-15,Good,100,increased seeding size due to missed planting previous week.,Radish Red // Sora,A3,14,2025,19
,2025-05-14,Good,100,,Cabbage Cone // Caraflex,B2,8,2025,19
,2025-05-14,Good,100,,Cabbage Cone // Caraflex,B2,7,2025,19
,2025-05-14,Good,100,,Cabbage Red // Omero,B2,4,2025,19
,2025-05-14,Good,100,,Cabbage Red // Omero,B2,5,2025,19
,2025-05-14,Good,100,,Cabbage Red // Omero,B2,6,2025,19
,2025-05-14,Good,100,,Cabbage Savoy // Alcosa,B2,3,2025,19
,2025-05-15,Good,100,"edited plan so that dill is planted on the same schedule as Cilantro, reduced cilantro to 150""",Dill // Thalia,B3,21,2025,19
,2025-05-08,Good,100,,Scallion // Parade,B3,24,2025,19
,2025-05-13,Good,100,,Fennel // Orazio,D2,14,2025,19
,2025-05-15,Good,100,,Radicchio Round // Indigo,D2,19,2025,19
,2025-05-15,Good,100,,Radicchio Variegated // Giorgine,D2,20,2025,19
,2025-05-12,Good,100,,Zucchini Green // Noche,D3,15,2025,19
,2025-05-12,Good,100,,Zucchini Green // Noche,D3,16,2025,19
,2025-05-12,Good,100,,Zucchini Green // Noche,D3,17,2025,19
,2025-05-12,Good,100,,Zucchini Green // Noche,D3,18,2025,19
,2025-05-12,Good,100,,Zucchini Striped // Pantheon,D3,19,2025,19
,2025-05-12,Good,100,,Zucchini Yellow // Golden Glory,D3,20,2025,19
,2025-05-12,Good,100,,Zucchini Yellow // Golden Glory,D3,21,2025,19
,2025-05-12,Good,100,,Zucchini Yellow // Golden Glory,D3,22,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Dark Red Norland,X1,1,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Dark Red Norland,X1,2,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Dark Red Norland,X1,3,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Dark Red Norland,X1,4,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Kennebec,X1,5,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Kennebec,X1,6,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Kennebec,X1,7,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Kennebec,X1,8,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Kennebec,X1,9,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Kennebec,X1,10,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Kennebec,X1,11,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Kennebec,X1,12,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Kennebec,X1,13,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Kennebec,X1,14,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Purple Viking,X1,15,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Purple Viking,X1,16,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Purple Viking,X1,17,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Yellow // Satina,X1,18,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Yellow // Satina,X1,19,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Yellow // Satina,X1,20,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Yellow // Satina,X1,21,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Yellow // Satina,X1,22,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Yellow // Satina,X1,23,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Yellow // Satina,X1,24,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Yellow // Satina,X1,25,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Yellow // Satina,X1,26,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Yellow // Satina,X1,27,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Blue // Adirondack Blue,X2,23,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Blue // Adirondack Blue,X2,24,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Blue // Adirondack Blue,X2,25,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Blue // All Blue,X2,26,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Blue // All Blue,X2,27,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato Blue // All Blue,X2,28,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Dark Red Norland,X2,29,2025,19
,2025-05-12,Good,100,pounds per bed were based on dividing the total order by the number of beds for all varieties. ,Potato White // Dark Red Norland,X2,30,2025,19
,2025-05-09,Good,100,,Tomato Cherry Mix // Artemis,HT4,8,2025,19
,2025-05-09,Good,100,,Tomato Cherry Mix // Chocolate Sprinkles,HT4,8,2025,19
,2025-05-09,Good,100,,Tomato Cherry Mix // Favorita,HT4,8,2025,19
,2025-05-09,Good,100,,Tomato Cherry Mix // Honey Bee,HT4,7,2025,19
,2025-05-09,Good,100,,Tomato Cherry Mix // HoneyCrisp,HT4,7,2025,19
,2025-05-09,Good,100,,Tomato Cherry Mix // HoneyGold,HT4,7,2025,19
,2025-05-09,Good,100,,Tomato Cherry Mix // Mimi,HT4,7,2025,19
,2025-05-09,Good,100,,Tomato Cherry Mix // SunGreen,HT4,6,2025,19
,2025-05-09,Good,100,,Tomato Cherry Mix // Sunpeach,HT4,6,2025,19
,2025-05-09,Good,100,,Tomato Cherry Sungold // SunOrange,HT4,5,2025,19
,2025-05-09,Good,100,,Tomato Cherry Sungold // SunOrange,HT4,4,2025,19
,2025-05-09,Good,100,,Tomato Cherry Sungold // SunOrange,HT4,3,2025,19
,2025-05-09,Good,100,,Tomato Heirloom // Beorange,HT4,2,2025,19
,2025-05-09,Good,100,,Tomato Heirloom // Marnouar,HT4,1,2025,19
,2025-05-07,Good,100,,Okra // Carmine Splendor,JSS,1,2025,19
,2025-05-07,Good,100,,Okra // Carmine Splendor,JSS,2,2025,19
,2025-05-07,Good,100,,Okra // Jambalaya,JSS,3,2025,19
,2025-01-01,Good,100,CANCEL.  never started seeds.,Bitter Melon // Green Skin,HT3,8,2025,20
,2025-05-15,Good,100,,Cucumber // Corinto,HT3,5,2025,20
,2025-05-15,Good,100,,Cucumber // Corinto,HT3,6,2025,20
,2025-05-15,Good,100,,Cucumber // Corinto,HT3,7,2025,20
,2025-05-15,Good,100,,Cucumber Pickling // Excelsior,HT3,8,2025,20
,2025-05-27,Good,100,not pulling for week 21 planting.  ,Eggplant Asian // Ping Tung,A2,4,2025,20
,2025-05-20,Good,100,,Eggplant Asian // Shinkasen,A2,4,2025,20
,2025-05-20,Good,100,,Eggplant Italian Black // Gaudi,A2,5,2025,20
,2025-05-20,Good,100,,Eggplant Italian Striped // Annina,A2,6,2025,20
,2025-05-20,Good,100,,Eggplant Italian Striped // Annina,A2,7,2025,20
,2025-05-20,Good,100,,Eggplant Mini // Fairytale,A2,8,2025,20
,2025-05-20,Good,100,,Eggplant Mini // Fairytale,A2,9,2025,20
,2025-05-15,Good,100,,Arugula // Astro,A3,15,2025,20
,2025-05-15,Good,100,,Greens Mix Baby Kale // Red Russian Kale,A3,15,2025,20
,2025-05-15,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,15,2025,20
,2025-05-15,Good,100,,Greens Mix Mizuna // Central Red,A3,15,2025,20
,2025-05-15,Good,100,,Greens Mix Purslane // Golden ,A3,15,2025,20
,2025-05-15,Good,100,,Greens Mix Tokyo Bekana // Tokyo Bekana,A3,15,2025,20
,2025-05-13,Good,100,,Bok Choy // Little Shanghai,B2,9,2025,20
